bucket,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
28,302.65,0.6200808780407052,260.18500755,1063.0477231325,1348.1075854099995,1804.6516751637475,2682.204361375,30.264999999999997,68.76332203481437,34.338158983607464,23.301799597293694,3.925,2.0,1.625,40.85479282933859,37.86935270122295,50.0,41.30952531127276,40.13839910095864,36.57546052194904,50.0,14.26318359375,4.44794921875,3.94013671875,2.838274637858073,1.7374801635742188,1.9260025024414062
29,301.775,0.29497252226394616,214.1079529875,897.9427662650002,1128.9990460862498,1522.8085496344997,2018.836861925,30.1775,72.17653715757959,35.966330359105136,24.353901503938182,3.925,2.0,1.625,40.96074381683681,37.873636247012904,50.0,41.38440180853087,40.3111314459773,36.37694222861133,50.0,13.84111328125,4.3927734375,3.9626953125,2.7530161539713545,1.7159271240234375,1.9371414184570312
30,301.075,0.19004105415717082,192.5073881125,705.4296546725001,869.4142857449999,1249.6030847490006,1992.8944779,30.107499999999998,75.19007584640022,37.62243557996707,25.449062168911063,3.925,2.0,1.625,40.88385596483564,37.7566234406361,50.0,41.35035934783734,40.15157831737226,36.3401493053585,50.0,13.63662109375,4.3955078125,4.04462890625,2.7127011617024737,1.7169952392578125,1.9925689697265625
31,303.5,0.13005974910065904,149.8332877,581.80023113,758.6304582412498,1202.9366565624964,1782.8414099499998,30.35,78.09930993669053,39.030852421753785,26.351298952512735,3.95,2.0,1.65,40.264790827381795,36.98593522166599,50.0,40.62811721626905,39.677280980895475,35.218382646379574,50.0,13.4955078125,4.39970703125,4.03232421875,2.670758565266927,1.7186355590820312,1.9359970092773438
32,302.0,0.007621951219512195,89.388542325,369.7249631650001,478.7203896587499,661.6579203315001,858.685404425,30.2,80.43009836151165,40.099880738422335,27.095735137488532,3.975,2.0,1.7,39.71372542382541,36.25514377621276,50.0,39.734200464222894,39.73769170458603,33.46342849259916,50.0,13.475390625,4.38095703125,4.128515625,2.6487286885579424,1.7113113403320312,1.9153213500976562
33,300.325,0.0,70.6186915,239.25819466750005,286.99473003874994,402.27911394249986,473.025120425,30.0325,81.5708507491289,40.80855415543344,27.449534447775015,3.975,2.0,1.7,38.969873745239795,35.44712142359171,50.0,39.014921874278414,38.95770679280425,32.72215954234356,50.0,13.0125,4.3853515625,4.08974609375,2.558307647705078,1.7130279541015625,1.8999481201171875
34,300.225,0.0,61.3947306875,201.43979921250002,241.17556978875,327.36859236,432.02552985,30.0225,82.40031415595118,41.10261115399086,27.6684345452272,3.975,2.0,1.7,37.93449600703623,34.520192152963965,50.0,37.97518789273551,37.91283742294089,31.80820501603096,50.0,12.6203125,4.37470703125,4.06240234375,2.479845682779948,1.7088699340820312,1.8870162963867188
35,300.425,0.0,56.4091614125,176.01029667500003,208.17580940499988,304.42589044150003,423.59916972499997,30.0425,83.0363933056158,41.53160460161637,27.90774414104289,3.975,2.0,1.7,36.98227421136934,34.08493085640919,50.0,36.78442221296781,37.43914490308089,31.550901941138314,50.0,12.486328125,4.3521484375,4.079296875,2.4540456136067705,1.7000579833984375,1.8946456909179688
36,300.1,0.0,50.4975504375,152.51947502750005,188.85778913874995,264.3050735512499,337.562777175,30.01,83.30572480865987,42.04455096247794,28.180014952867662,3.975,2.0,1.7,35.864336622472955,33.03310112296787,50.0,35.70716941566958,36.254781814937715,30.577108499216784,50.0,12.491015625,4.34453125,4.085546875,2.4549293518066406,1.69708251953125,1.896514892578125
37,300.6,0.0,35.6021485,119.47632624750004,149.24353745375,206.05265398349988,282.5833247,30.060000000000002,84.06422377952121,42.43210074278082,28.468405798728792,3.975,2.0,1.7,35.126149142202685,32.39754148504279,50.0,34.76940938476719,35.89456010328807,29.604116411514717,50.0,12.4666015625,4.33837890625,4.05634765625,2.4503835042317705,1.6946792602539062,1.8836212158203125
