ts,time_iso,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
1773058495,2026-03-09T12:14:55Z,13.501977578259043,5.752886852185472,3.735663405499064,2.0,1.0,1.0,29.493425286000306,22.05119722495551,50.0,30.980016801358257,26.520242255284415,17.5821521946266,50.0,9.71875,1.97265625,2.28515625,3.79638671875,1.5411376953125,1.7852783203125
1773058510,2026-03-09T12:15:10Z,18.973011952012254,7.985444187065673,4.634112205123898,2.0,1.0,1.0,39.05489106355068,29.092100779336505,50.0,40.68413542127003,35.796402348111975,22.387799210561028,50.0,7.9453125,2.1484375,2.43359375,3.1036376953125,1.678466796875,1.9012451171875
1773058525,2026-03-09T12:15:25Z,25.039262690317965,11.237193045102455,6.603142813658753,2.0,1.0,1.0,52.23110037948384,39.49052949509518,50.0,53.73463240099141,49.22403633646869,29.757022653721677,50.0,8.40234375,2.5390625,2.4453125,3.28216552734375,1.983642578125,1.910400390625
1773058540,2026-03-09T12:15:40Z,31.469268815592795,14.685705802540317,8.542548444004378,2.0,1.0,1.0,60.097773219883656,46.877060499653524,50.0,60.5746299101947,59.144059839261566,34.61006116004549,50.0,8.65234375,2.7265625,2.43359375,3.37982177734375,2.130126953125,1.9012451171875
1773058555,2026-03-09T12:15:55Z,36.80922749522381,15.4894761374147,10.680565728256498,2.0,2.0,1.0,48.95751980528536,34.43271767066287,50.0,66.25841030259961,31.65662930797111,39.984894396046386,50.0,8.84765625,5.45703125,2.671875,3.45611572265625,2.13165283203125,2.08740234375
1773058570,2026-03-09T12:16:10Z,41.80679662954316,20.461731130274053,12.604759882482352,2.0,2.0,1.0,56.184055378417696,41.987821715595416,50.0,72.00001489594432,40.36809586089108,45.227273425004064,50.0,8.2734375,3.80859375,2.56640625,3.2318115234375,1.48773193359375,2.0050048828125
1773058585,2026-03-09T12:16:25Z,47.110010549791625,23.54661104562053,14.4853428134695,2.0,2.0,1.0,59.87930991464071,44.20276971365658,50.0,77.9666140818793,41.7920057474021,49.02429764616552,50.0,9.08984375,3.7421875,2.5625,3.55072021484375,1.4617919921875,2.001953125
1773058600,2026-03-09T12:16:40Z,52.271483927735545,26.250022790284277,16.068882558070165,2.0,2.0,1.0,64.64348461542106,48.55821127950713,50.0,83.49732892402115,45.78964030682098,54.095353224879425,50.0,9.33203125,4.0703125,2.57421875,3.64532470703125,1.5899658203125,2.0111083984375
1773058615,2026-03-09T12:16:55Z,57.831454875346935,29.362961702538822,18.659938343950657,4.0,2.0,2.0,44.97451587568885,38.31146268958707,50.0,43.88964191755031,47.14426379196594,29.478661587208187,50.0,12.6953125,3.91796875,4.63671875,2.47955322265625,1.53045654296875,1.81121826171875
1773058630,2026-03-09T12:17:10Z,64.4777925208197,32.05506897964205,19.481519649408337,4.0,2.0,2.0,45.74737774277792,36.999334905749166,50.0,45.58513875199932,46.071855724335144,27.926814087163187,50.0,11.5078125,4.04296875,4.6484375,2.24761962890625,1.57928466796875,1.8157958984375
