time_iso,ts,k6_reqs,k6_fail_pct,k6_p50_ms,k6_p90_ms,k6_p95_ms,k6_p99_ms,k6_max_ms,k6_rps,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
2026-03-09T12:17:15Z,1773058635,885,0.0,197.199441,1997.7540934,2501.9742244,3699.0909762399997,4398.16426,59.0,64.4777925208197,32.05506897964205,19.481519649408337,4.0,2.0,2.0,45.74737774277792,36.999334905749166,50.0,45.58513875199932,46.07185572433514,27.926814087163187,50.0,11.5078125,4.04296875,4.6484375,2.24761962890625,1.57928466796875,1.8157958984375
2026-03-09T12:17:30Z,1773058650,859,0.0,198.119779,1999.517901,2596.3171842999996,3398.27018608,4098.225703,57.266666666666666,71.99918717889886,35.97401121122174,23.22936673919952,4.0,2.0,2.0,47.643815550506105,39.97178223170892,50.0,47.67420964876926,47.58302735397979,32.360537109438056,50.0,11.81640625,4.21484375,4.7265625,2.307891845703125,1.64642333984375,1.8463134765625
2026-03-09T12:17:45Z,1773058665,917,0.0,195.829435,2038.775650199998,2616.444197199993,3597.8332396799997,4198.490043,61.13333333333333,79.67906077774575,40.0641838678304,25.990588592450656,4.0,2.0,2.0,50.17765001925473,42.63893692822528,50.0,50.11482411880629,50.30330182015159,34.97457203629896,50.0,11.6328125,4.1796875,4.7890625,2.27203369140625,1.6326904296875,1.8707275390625
2026-03-09T12:18:00Z,1773058680,988,0.0,191.7451895,1801.5565925,2398.1445881,3501.34926378,4898.513618,65.86666666666666,87.53213275115624,43.906324800891646,28.9770362687584,4.0,3.0,2.0,45.28007416664632,35.76916171058177,50.0,52.51893970786553,35.62825344502071,35.98052410892336,50.0,11.6484375,6.99609375,4.66796875,2.27508544921875,1.8218994140625,1.82342529296875
2026-03-09T12:18:15Z,1773058695,922,0.0,194.16833450000001,1993.6560462,2399.34241115,3737.438687269989,4700.695764,61.46666666666667,95.38499715030028,48.09161063849412,32.41916386060758,4.0,3.0,2.0,47.54034837472643,38.29345468063386,50.0,55.10017930956661,37.46057379493951,39.54277600917536,50.0,11.296875,5.6328125,4.765625,2.2064208984375,1.4668782552083337,1.861572265625
2026-03-09T12:18:30Z,1773058710,942,0.0,195.46348999999998,1983.470306099998,2493.0091322999997,3596.58790763,3997.786467,62.8,103.1017068588471,54.06712770211932,35.237769200890106,4.0,3.0,2.0,51.15518357831043,42.43694943012051,50.0,57.76397448978599,42.34346236300967,42.57718003078676,50.0,12.2734375,5.9453125,4.87109375,2.39715576171875,1.5482584635416663,1.90277099609375
2026-03-09T12:18:45Z,1773058725,929,0.1076426264800861,194.3116,2001.0061924,2557.871413999992,3767.6379613200024,5000.68806,61.93333333333333,108.40906943367465,56.87760792641468,36.40033232817654,4.0,3.0,2.0,52.97646710746826,43.09601201467999,50.0,60.183545089048366,43.36702979869479,42.6894853386578,50.0,11.8671875,5.9921875,4.85546875,2.31781005859375,1.5604654947916663,1.89666748046875
2026-03-09T12:19:00Z,1773058740,925,0.0,195.065564,2100.302291,2502.7525564,3705.0602558,4398.244565,61.666666666666664,113.85341673943458,61.27451546461386,39.15579502316756,6.0,3.0,2.0,43.61704596030864,46.87529561450099,50.0,41.81788985428847,47.215358172348985,46.36520177772901,50.0,16.39453125,5.765625,5.1796875,2.13470458984375,1.50146484375,2.0233154296875
2026-03-09T12:19:15Z,1773058755,928,0.0,196.0247415,1997.6768683,2399.2614743,3397.07747646,4496.17588,61.86666666666667,119.45229758404392,63.73678436734069,40.72829285645391,6.0,3.0,2.0,44.32256288694133,46.349786319326256,50.0,43.09849236120877,46.77070393840646,45.71840989070596,50.0,13.30078125,5.765625,5.00390625,1.73187255859375,1.50146484375,1.95465087890625
2026-03-09T12:19:30Z,1773058770,949,0.0,194.872782,1992.3535864,2494.6243174,3394.2051999200003,4501.003498,63.266666666666666,122.81493122068332,66.860247165411,43.68089313764431,6.0,3.0,2.0,43.99473479496848,47.52331177159208,50.0,42.18905609194887,47.6060922010077,47.39914112746863,50.0,14.015625,6.0546875,4.83203125,1.824951171875,1.5767415364583333,1.88751220703125
2026-03-09T12:19:45Z,1773058785,890,0.0,197.0220525,2000.1008508,2598.9208657,3400.2656696000004,4191.823254,59.333333333333336,129.788770030918,70.33114250916117,46.21742177973427,6.0,3.0,2.0,44.955734156382206,48.14210119272831,50.0,43.72231990284976,47.42256266344714,49.22140898665007,50.0,13.8515625,6.2890625,4.7734375,1.8035888671875,1.6377766927083333,1.8646240234375
2026-03-09T12:20:00Z,1773058800,867,0.11534025374855825,198.113166,2100.6933472,2496.2143593,3397.92875374,5001.018202,57.8,133.94134481932252,73.19539660849988,48.03188919118914,6.0,3.0,2.0,45.20388294335733,48.7377003028537,50.0,43.37454399748265,48.8625608351067,48.55040950447419,50.0,14.21484375,5.94921875,4.98046875,1.85089111328125,1.5492757161458337,1.94549560546875
2026-03-09T12:20:15Z,1773058815,809,0.12360939431396785,204.786818,1901.9139998,2495.7421076,3297.22946636,5001.069899,53.93333333333333,136.5046742308117,74.21460761857813,49.78291042614156,6.0,3.0,2.0,44.668684086473895,48.45249884795499,50.0,43.06199538351891,47.88206149238386,49.30815488131171,50.0,13.63671875,5.8984375,5.140625,1.7756144205729167,1.5360514322916663,2.008056640625
