[INFO] Loading HPA1 runs (40 iterations)...
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_190020Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_200705Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_211351Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_221959Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-15/dual_test_30rps_hpa2_232800Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa2_003517Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa2_014149Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa2_024828Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa2_035515Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa2_050215Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa2_060907Z/unified_report.csv: 75 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa2_071639Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa2_082331Z/unified_report.csv: 76 rows, 31 cols
[INFO] Loaded /home/dlamagna/projects/autoscaling-kubernetes/k6/grafana/2026-03-16/dual_test_30rps_hpa2_093034Z/unified_report.csv: 75 rows, 31 cols
[INFO] Aggregating 40 runs, 75 buckets each (trimmed to shortest)
[INFO] Aggregating 40 runs, 75 buckets each (trimmed to shortest)
[INFO] Saved averaged CSVs
[INFO] Saved 6 averaged plots to k6/grafana/2026-03-16/aggregated_094450Z/hpa1/
[INFO] Saved 6 averaged plots to k6/grafana/2026-03-16/aggregated_094450Z/hpa2/
[INFO] Saved aggregated comparison plot to k6/grafana/2026-03-16/aggregated_094450Z/comparison/aggregated_comparison.png
[INFO] Saved per-run P95 plot to k6/grafana/2026-03-16/aggregated_094450Z/hpa1/per_run_p95.png
[INFO] Saved per-run P95 plot to k6/grafana/2026-03-16/aggregated_094450Z/hpa2/per_run_p95.png
[INFO] Saved per-run P95 comparison plot to k6/grafana/2026-03-16/aggregated_094450Z/comparison/per_run_p95_comparison.png
[INFO] Generated 7 overlay plots in k6/grafana/2026-03-16/aggregated_094450Z/comparison/
  overlay_latency.png
  overlay_throughput.png
  overlay_failure_rate.png
  overlay_replicas.png
  overlay_cpu_utilization.png
  overlay_cpu_mcore.png
  overlay_memory.png
[INFO] Loading raw k6 latencies for distribution plot...
[INFO] Loaded 21,239 latency samples from /home/dlamagna/projects/autoscaling-kubernetes/k6/reports/dual_test_30rps_hpa1_20260314_111748.csv
