ts,time_iso,CPU_Consumption_by_Service_Total_mcore__compose-post,CPU_Consumption_by_Service_Total_mcore__text-service,CPU_Consumption_by_Service_Total_mcore__user-mention-service,Replicas_per_Service__compose-post,Replicas_per_Service__text-service,Replicas_per_Service__user-mention-service,Combined_CPU_Utilization_Child__Parent__text-service__compose-post,Combined_CPU_Utilization_Child__Parent__user-mention__text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_text-service,Combined_CPU_Utilization_Child__Parent__HPA_parent_threshold_user-mention,Combined_CPU_Utilization_Child__Parent__HPA_self-CPU_threshold_50,CPU_Utilization_per_Service__compose-post-service,CPU_Utilization_per_Service__text-service,CPU_Utilization_per_Service__user-mention-service,CPU_Utilization_per_Service__HPA_threshold_compose-post,Memory_Usage_per_Service_MB__compose-post,Memory_Usage_per_Service_MB__text-service,Memory_Usage_per_Service_MB__user-mention-service,Memory_Usage_Percentage_per_Service___compose-post,Memory_Usage_Percentage_per_Service___text-service,Memory_Usage_Percentage_per_Service___user-mention-service
1773056816,2026-03-09T11:46:56Z,21.589854082512378,11.148401345319163,6.913134198821103,2.0,2.0,1.0,35.26906789407992,26.07846181019211,25.0,25.0,50.0,46.615273154133696,23.92286263402614,30.389660162524052,50.0,9.2734375,3.53125,2.453125,3.6224365234375,1.37939453125,1.91650390625
1773056831,2026-03-09T11:47:11Z,25.812150898854686,13.63447783034861,9.660210673008898,2.0,2.0,1.0,41.71731349910515,33.186295003097,25.0,25.0,50.0,54.828522637071885,28.606104361138424,42.346676287014155,50.0,8.86328125,3.66015625,2.54296875,3.46221923828125,1.42974853515625,1.9866943359375
1773056846,2026-03-09T11:47:26Z,32.41863375370906,16.427275231248846,11.844961131584578,2.0,2.0,1.0,51.81794185095613,40.11620439513907,25.0,25.0,50.0,69.25520341459503,34.38068028731722,51.587252610782784,50.0,8.72265625,6.1875,4.88671875,3.40728759765625,2.4169921875,3.8177490234375
1773056861,2026-03-09T11:47:41Z,38.47733632153626,20.076049752753356,14.195698880235822,2.0,3.0,2.0,44.2846446868318,26.799068864066143,25.0,25.0,50.0,71.67732184301887,26.02285991604041,27.96338228610475,50.0,9.37109375,5.2578125,4.49609375,3.66058349609375,1.3692220052083335,1.75628662109375
1773056876,2026-03-09T11:47:56Z,43.784116118274696,21.49450712450331,16.44752556567091,2.0,3.0,2.0,49.43101662288601,29.481804959984114,25.0,25.0,50.0,80.90302702172713,28.449676356991937,31.029997864472385,50.0,8.828125,5.33203125,4.72265625,3.448486328125,1.3885498046875,1.84478759765625
1773056891,2026-03-09T11:48:11Z,47.901935723112715,24.86294791954152,18.340339981063423,2.0,3.0,2.0,51.32812698026748,31.283192664125338,25.0,25.0,50.0,83.24931224359818,30.047336804713666,33.136976453242845,50.0,8.984375,5.4609375,4.78515625,3.509521484375,1.422119140625,1.86920166015625
1773056906,2026-03-09T11:48:26Z,53.571538664626665,28.249427082242185,20.456735637191073,2.0,3.0,2.0,54.13367177984506,30.82967997504514,25.0,25.0,50.0,88.36239420661661,31.314523495330697,30.102414694616787,50.0,12.76953125,8.22265625,4.6796875,4.98809814453125,2.141316731770833,1.8280029296875
1773056921,2026-03-09T11:48:41Z,58.835333641561256,30.782022155630695,22.3178396818497,4.0,4.0,2.0,33.479157365232716,26.18077834807815,25.0,25.0,50.0,44.3455375506782,22.612777179787223,33.316780684659996,50.0,11.2421875,6.8359375,4.8203125,2.19573974609375,1.33514404296875,1.8829345703125
1773056936,2026-03-09T11:48:56Z,64.65894989064645,34.172634103720284,23.16515432863597,4.0,4.0,2.0,33.87055217617589,25.60930344372178,25.0,25.0,50.0,44.40273786435045,23.338366488001334,30.151177355162673,50.0,10.94921875,6.91796875,4.8203125,2.138519287109375,1.351165771484375,1.8829345703125
1773056951,2026-03-09T11:49:11Z,70.26538936824895,36.70793065681564,26.02767979099104,4.0,4.0,2.0,33.493125966457896,25.69727595139966,25.0,25.0,50.0,44.1189071935638,22.86734473935198,31.35713837549502,50.0,11.12890625,6.76953125,4.85546875,2.173614501953125,1.322174072265625,1.89666748046875
